school_name,official_school_code,short_name,school_type,sector,region,province,city,website,address,directory_source,is_active
Mindanao Institute of Healthcare Professionals,15057,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Mindanao Islamic Computer College,12087,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Mindanao State University-Lanao National College of Arts and Trades,12030,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,"Marawi City, Lanao del Sur",CHED,true
Mindanao State University-Maguindanao,15006,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Mindanao State University-Main Campus Marawi City,12040,,Chartered State College/University (Main),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Mindanao State University-Tawi-Tawi College of Technology and Oceanography,15008,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Mindanaoan Integrated Academy,15079,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Muslim Mindanao Integrated College Academy,15074,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Notre Dame Center For Catechesis,12047,,Private Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Notre Dame Hospital and School of Midwifery,12048,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Notre Dame RVM College of Cotabato,12111,,Private Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Sur,CHED,true
Notre Dame University,12053,,Private Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Pacasum College,12055,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Parang Foundation College,15010,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Philippine Engineering and Agro-Industrial College,15060,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Philippine Last Frontier College,15082,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Philippine Muslim Teachers' College,15032,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,"Marawi City, Lanao del Sur",CHED,true
RC-Al Khwarizmi International College Foundation,15056,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Regional Madrasah Graduate Academy,15048,,Local Government College/University,,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Saffrullah M. Dipatuan Foundation Academy,15041,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
SAL Foundation College,15033,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Senator Ninoy Aquino College Foundation-Marawi,12102,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Shariff Kabunsuan College,12065,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Shariff Kabunsuan College (Annex),15011,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
South Upi College,15042,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
SPA College,15036,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,"Datu Piang, Maguindanao del Sur",CHED,true
St. Benedict College of Cotabato,12059,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,"Cotabato City, Maguindanao del Norte",CHED,true
St. Benedict College of Maguindanao,15043,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
STI College-Cotabato,12089,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Sultan Kudarat Islamic Academy Foundation College,15012,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Tamparan Populace Islamic College,15081,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Tawi-Tawi Regional Agricultural College,15014,,Chartered State College/University (Main),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
